ah,aw,ifs,fs,ofs,dfw,total_cycles,avg_mapping_eff
4,9,1,1,2,ws,44446,75.94356261022925
5,8,4,2,4,is,61999,44.85583914108737
5,8,4,3,1,os,34091,40.45538993878094
3,8,4,4,4,os,53226,47.47233748271093
10,5,1,3,1,ws,29524,85.76
4,3,2,4,2,is,157645,59.259039715471246
9,8,2,2,4,os,33074,35.76432022084197
6,8,3,3,4,is,67686,44.80954840724413
10,4,4,4,3,os,36450,45.22027168234065
9,5,4,3,3,is,60181,51.24031735704168
9,9,1,3,1,is,165393,46.21748502585862
5,4,3,4,1,is,101511,52.43349753694592
5,7,3,2,4,ws,42808,75.81233872859491
7,8,2,4,2,is,98115,45.6329697759713
3,10,4,1,1,os,54934,43.97786998616895
3,6,3,2,2,os,68007,49.65795077828307
10,5,3,1,2,os,36656,37.64288401253914
9,6,2,3,1,ws,24949,83.668430335097
10,6,1,3,2,os,129338,36.36655222172475
10,3,3,3,2,os,62454,36.43709895893818
6,5,4,2,4,is,77390,49.291084156136044
4,4,1,3,3,is,235526,54.28571428571429
3,5,1,4,3,is,254784,51.754025870750276
6,3,1,1,3,os,229529,40.48981438792386
4,9,3,1,3,ws,44446,75.94356261022925
9,5,3,2,1,ws,29871,88.57848324514991
9,7,1,4,3,is,252386,47.70967598332034
10,8,1,4,3,is,250880,43.91612990163044
3,7,4,4,2,ws,63736,78.23526267970719
4,10,2,4,4,os,58181,39.00000000000021
8,3,1,1,2,os,129815,37.951868737533445
8,9,3,1,3,is,45396,43.483436853002075
